0;58,87;0,47;TID;HEAT 1;HEAT 2;HEAT 3;HEAT 4
2,65;-9,28;-2,11;;;;;
2,66;-9,59;-1,99;;;;;
2,67;-9,56;-2,32;;;;;
2,68;-9,79;-2,27;;;;;
2,69;-9,77;-2,23;;;;;
2,7;-9,71;-2,11;;;;;
2,71;-9,69;-2,27;;;;;
2,72;-9,99;-2,27;;;;;
2,73;-9,97;-2,32;;;;;
2,74;-9,59;-2,27;;;;;
2,75;-9,94;-2,23;;;;;
2,76;-10,02;-2,19;;;;;
2,77;-9,79;-2,03;;;;;
2,78;-9,79;-2,27;;;;;
2,79;-9,82;-2,23;;;;;
2,8;-10,07;-2,27;;;;;
2,81;-10,02;-2,36;;;;;
2,82;-9,77;-2,36;;;;;
2,83;-9,51;-2,07;;;;;
2,84;-10,1;-2,32;;;;;
2,85;-9,87;-2,19;;;;;
2,86;-9,77;-2,27;;;;;
2,87;-9,94;-2,19;;;;;
2,88;-9,69;-2,27;;;;;
2,89;-10,15;-2,4;;;;;
2,9;-9,59;-2,19;;;;;
2,91;-9,99;-2,27;;;;;
2,92;-9,66;-2,36;;;;;
2,93;-9,79;-2,4;;;;;
2,94;-9,87;-2,15;;;;;
2,95;-9,66;-2,44;;;;;
2,96;-9,31;-2,19;;;;;
2,97;-9,79;-2,15;;;;;
2,98;-9,82;-2,4;;;;;
2,99;-10,1;-2,23;;;;;
3;-9,79;-2,23;;;;;
3,01;-9,51;-2,32;;;;;
3,02;-9,79;-2,32;;;;;
3,03;-9,74;-2,23;;;;;
3,04;-9,89;-2,27;;;;;
3,05;-9,89;-2,23;;;;;
3,06;-9,87;-2,32;;;;;
3,07;-9,69;-2,23;;;;;
3,08;-9,97;-2,15;;;;;
3,09;-10,05;-2,23;;;;;
3,1;-10,53;-2,07;;;;;
3,11;-10,05;-2,07;;;;;
3,12;-9,56;-2,23;;;;;
3,13;-9,72;-2,23;;;;;
3,14;-9,74;-2,19;;;;;
3,15;-9,84;-2,27;;;;;
3,16;-10,05;-2,03;;;;;
3,17;-10,1;-2,36;;;;;
3,18;-9,77;-2,23;;;;;
3,19;-10,45;-1,99;;;;;
3,2;-9,74;-2,07;;;;;
3,21;-10,05;-2,23;;;;;
3,22;-9,84;-2,27;;;;;
3,23;-9,66;-2,19;;;;;
3,24;-9,92;-2,36;;;;;
3,25;-9,82;-2,11;;;;;
3,26;-10,51;-2,11;;;;;
3,27;-9,97;-2,27;;;;;
3,28;-9,79;-2,19;;;;;
3,29;-10,2;-2,15;;;;;
3,3;-10,45;-2,23;;;;;
3,31;-10,12;-2,23;;;;;
3,32;-9,72;-2,23;;;;;
3,33;-10,1;-2,23;;;;;
3,34;-9,97;-2,07;;;;;
3,35;-10,1;-2,23;;;;;
3,36;-9,97;-2,11;;;;;
3,37;-9,92;-2,23;;;;;
3,38;-10,07;-2,27;;;;;
3,39;-10,12;-2,11;;;;;
3,4;-10,53;-2,19;;;;;
3,41;-10,33;-2,23;;;;;
3,42;-10,23;-2,27;;;;;
3,43;-10,38;-2,23;;;;;
3,44;-10,46;-2,27;;;;;
3,45;-10,41;-2,36;;;;;
3,46;-9,87;-2,19;;;;;
3,47;-10,56;-2,27;;;;;
3,48;-10,2;-2,03;;;;;
3,49;-10,35;-2,32;;;;;
3,5;-10,05;-2,32;;;;;
3,51;-10,79;-2,15;;;;;
3,52;-10,28;-2,27;;;;;
3,53;-10;-2,23;;;;;
3,54;-10,07;-2,23;;;;;
3,55;-10,05;-2,23;;;;;
3,56;-10,58;-2,23;;;;;
3,57;-10,3;-2,36;;;;;
3,58;-10,2;-2,15;;;;;
3,59;-10,56;-2,32;;;;;
3,6;-10,05;-2,19;;;;;
3,61;-10,48;-2,23;;;;;
3,62;-10,38;-2,36;;;;;
3,63;-10,15;-2,32;;;;;
3,64;-10,28;-2,11;;;;;
3,65;-10,3;-2,15;;;;;
3,66;-10,05;-2,07;;;;;
3,67;-10,15;-2,19;;;;;
3,68;-10,3;-2,07;;;;;
3,69;-10,07;-2,03;;;;;
3,7;-10,1;-2,19;;;;;
3,71;-10,33;-2,23;;;;;
3,72;-10,25;-1,91;;;;;
3,73;-10,13;-2,23;;;;;
3,74;-10,33;-2,15;;;;;
3,75;-10,33;-2,23;;;;;
3,76;-10,33;-2,19;;;;;
3,77;-10,53;-2,4;;;;;
3,78;-10,02;-2,15;;;;;
3,79;-10,28;-2,27;;;;;
3,8;-9,82;-2,48;;;;;
3,81;-10,58;-2,15;;;;;
3,82;-10,1;-2,32;;;;;
3,83;-10,13;-2,27;;;;;
3,84;-10,28;-2,36;;;;;
3,85;-10,33;-2,15;;;;;
3,86;-10,64;-2,27;;;;;
3,87;-10,05;-2,07;;;;;
3,88;-10,05;-2,23;;;;;
3,89;-10,18;-2,15;;;;;
3,9;-10,41;-2,03;;;;;
3,91;-10,25;-2,15;;;;;
3,92;-10,76;-2,23;;;;;
3,93;-10,48;-2,23;;;;;
3,94;-10,33;-2,23;;;;;
3,95;-10,35;-2,19;;;;;
3,96;-10,2;-2,19;;;;;
3,97;-10,56;-2,19;;;;;
