type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-01-02 08:25:20,59.31442950,18.06972761,12.00,52.643,,0.000,,18,26,20230102-092520,GPS Logger: 20230102-092520 - Cykel jobb
T,2023-01-02 08:25:21,59.31442950,18.06972761,12.00,51.005,,0.000,,20,35,,
T,2023-01-02 08:25:22,59.31442950,18.06972761,12.00,50.708,,0.000,,20,35,,
T,2023-01-02 08:25:23,59.31442950,18.06972761,12.00,50.259,,0.000,,20,34,,
T,2023-01-02 08:25:24,59.31443488,18.06971368,12.00,49.984,,0.373,16,20,35,,
T,2023-01-02 08:25:25,59.31443488,18.06971368,12.00,49.669,,0.000,,21,34,,
T,2023-01-02 08:25:26,59.31443488,18.06971368,12.00,49.572,,0.000,,21,34,,
T,2023-01-02 08:25:27,59.31443488,18.06971368,12.00,49.768,,0.000,,20,34,,
T,2023-01-02 08:25:28,59.31443488,18.06971368,12.00,49.711,,0.000,,20,31,,
T,2023-01-02 08:25:29,59.31443488,18.06971368,12.00,49.546,,0.000,,12,27,,
T,2023-01-02 08:25:30,59.31443488,18.06971368,12.00,48.998,,0.000,,11,30,,
T,2023-01-02 08:25:31,59.31445383,18.06973612,12.00,48.891,,0.570,17,11,30,,
T,2023-01-02 08:25:32,59.31446251,18.06974334,8.00,48.392,,0.474,13,13,31,,
T,2023-01-02 08:25:33,59.31446251,18.06974334,8.00,48.255,,0.000,,13,33,,
T,2023-01-02 08:25:34,59.31446251,18.06974334,8.00,48.135,,0.000,,12,31,,
T,2023-01-02 08:25:35,59.31446251,18.06974334,8.00,48.116,,0.000,,13,31,,
T,2023-01-02 08:25:36,59.31446251,18.06974334,12.00,48.366,,0.000,,11,29,,
T,2023-01-02 08:25:37,59.31446251,18.06974334,12.00,48.343,,0.000,,13,30,,
T,2023-01-02 08:25:38,59.31445954,18.06973356,12.00,48.448,,0.348,7,13,31,,
T,2023-01-02 08:25:39,59.31446087,18.06973128,12.00,47.853,,0.346,8,13,31,,
T,2023-01-02 08:25:40,59.31446087,18.06973128,8.00,47.145,,0.000,,14,33,,
T,2023-01-02 08:25:41,59.31447020,18.06973466,8.00,46.787,,1.068,353,12,30,,
T,2023-01-02 08:25:42,59.31448276,18.06973577,8.00,46.498,,0.629,358,12,32,,
T,2023-01-02 08:25:43,59.31448629,18.06972407,8.00,46.794,,1.098,340,12,32,,
T,2023-01-02 08:25:44,59.31449174,18.06971229,8.00,46.632,,1.079,343,13,32,,
T,2023-01-02 08:25:45,59.31450083,18.06970603,8.00,46.518,,1.348,15,13,33,,
T,2023-01-02 08:25:46,59.31451297,18.06970167,8.00,46.028,,1.436,359,13,33,,
T,2023-01-02 08:25:47,59.31452790,18.06967882,8.00,47.407,,2.025,332,12,32,,
T,2023-01-02 08:25:48,59.31454587,18.06965926,8.00,47.654,,1.956,337,13,34,,
T,2023-01-02 08:25:49,59.31456521,18.06964408,8.00,47.182,,1.635,345,14,34,,
T,2023-01-02 08:25:50,59.31458310,18.06962713,8.00,47.148,,1.845,357,14,32,,
T,2023-01-02 08:25:51,59.31460505,18.06961306,8.00,47.389,,2.227,347,16,33,,
T,2023-01-02 08:25:52,59.31463190,18.06959847,8.00,47.576,,2.068,315,17,33,,
T,2023-01-02 08:25:53,59.31465443,18.06955268,8.00,48.007,,2.334,296,18,34,,
T,2023-01-02 08:25:54,59.31467461,18.06949322,8.00,49.048,,2.396,294,21,33,,
T,2023-01-02 08:25:55,59.31468814,18.06944502,8.00,48.933,,2.823,297,18,34,,
T,2023-01-02 08:25:56,59.31470638,18.06939058,6.00,48.618,,2.064,305,25,34,,
T,2023-01-02 08:25:57,59.31472716,18.06934605,6.00,48.919,,1.789,313,24,34,,
T,2023-01-02 08:25:58,59.31474885,18.06931681,6.00,48.313,,1.690,340,24,33,,
T,2023-01-02 08:25:59,59.31476922,18.06930475,6.00,47.323,,1.864,352,24,34,,
T,2023-01-02 08:26:00,59.31478670,18.06930117,6.00,45.951,,1.414,345,23,34,,
T,2023-01-02 08:26:01,59.31480127,18.06930679,6.00,44.651,,1.228,352,23,34,,
T,2023-01-02 08:26:02,59.31480241,18.06934366,6.00,42.833,,1.184,343,24,34,,
T,2023-01-02 08:26:03,59.31481404,18.06933982,8.00,42.617,,1.211,341,17,34,,
T,2023-01-02 08:26:04,59.31483068,18.06932814,8.00,42.620,,1.504,345,20,34,,
T,2023-01-02 08:26:05,59.31484879,18.06931956,8.00,42.500,,1.663,343,19,34,,
T,2023-01-02 08:26:06,59.31486834,18.06930710,8.00,42.662,,1.800,339,17,34,,
T,2023-01-02 08:26:07,59.31488681,18.06929717,6.00,42.427,,1.853,344,17,35,,
T,2023-01-02 08:26:08,59.31490797,18.06928837,6.00,42.095,,1.943,356,17,34,,
T,2023-01-02 08:26:09,59.31493022,18.06928514,6.00,42.491,,2.021,351,13,35,,
T,2023-01-02 08:26:10,59.31495148,18.06927535,6.00,42.400,,2.069,353,16,34,,
T,2023-01-02 08:26:11,59.31497183,18.06925707,6.00,42.420,,2.111,338,15,35,,
T,2023-01-02 08:26:12,59.31498858,18.06924253,6.00,42.080,,2.086,337,15,34,,
T,2023-01-02 08:26:13,59.31500624,18.06923257,6.00,42.265,,2.062,353,17,35,,
T,2023-01-02 08:26:14,59.31502818,18.06923789,6.00,42.708,,2.081,6,20,34,,
T,2023-01-02 08:26:15,59.31504005,18.06924518,6.00,43.156,,1.981,23,18,35,,
T,2023-01-02 08:26:16,59.31504671,18.06925159,6.00,42.682,,1.845,31,20,35,,
T,2023-01-02 08:26:17,59.31505494,18.06926899,6.00,42.521,,1.775,45,19,35,,
T,2023-01-02 08:26:18,59.31506492,18.06927944,6.00,41.835,,1.704,40,19,35,,
T,2023-01-02 08:26:19,59.31507545,18.06929239,6.00,41.295,,1.545,40,18,35,,
T,2023-01-02 08:26:20,59.31508015,18.06929810,6.00,41.271,,1.373,40,15,34,,
T,2023-01-02 08:26:21,59.31508289,18.06929968,6.00,41.029,,1.225,40,17,34,,
T,2023-01-02 08:26:22,59.31508402,18.06929972,6.00,40.195,,0.026,40,12,34,,
T,2023-01-02 08:26:23,59.31508991,18.06929561,8.00,39.913,,0.087,40,9,34,,
T,2023-01-02 08:26:24,59.31510423,18.06929754,8.00,39.699,,0.511,28,9,35,,
T,2023-01-02 08:26:25,59.31512336,18.06929895,8.00,39.684,,1.226,341,10,35,,
T,2023-01-02 08:26:26,59.31515319,18.06929062,8.00,39.187,,1.341,10,10,35,,
T,2023-01-02 08:26:27,59.31517746,18.06930207,8.00,39.126,,1.980,18,12,34,,
T,2023-01-02 08:26:28,59.31519981,18.06931082,8.00,38.696,,2.186,24,13,34,,
T,2023-01-02 08:26:29,59.31523392,18.06935782,8.00,38.534,,2.176,35,12,34,,
T,2023-01-02 08:26:30,59.31526658,18.06939807,8.00,38.248,,2.962,44,12,35,,
T,2023-01-02 08:26:31,59.31528931,18.06942667,6.00,37.926,,2.874,36,12,35,,
T,2023-01-02 08:26:32,59.31530969,18.06944948,6.00,38.093,,2.728,41,14,35,,
T,2023-01-02 08:26:33,59.31533298,18.06946814,6.00,38.165,,2.677,48,18,34,,
T,2023-01-02 08:26:34,59.31536268,18.06948918,6.00,38.980,,2.776,72,15,34,,
T,2023-01-02 08:26:35,59.31539452,18.06953048,8.00,38.784,,1.883,44,17,35,,
T,2023-01-02 08:26:36,59.31542196,18.06956698,8.00,37.764,,2.550,49,19,34,,
T,2023-01-02 08:26:37,59.31544464,18.06960011,8.00,37.898,,2.652,49,19,35,,
T,2023-01-02 08:26:38,59.31545543,18.06963468,8.00,36.513,,2.484,58,20,34,,
T,2023-01-02 08:26:39,59.31545763,18.06967436,8.00,33.961,,2.378,57,19,35,,
T,2023-01-02 08:26:40,59.31546341,18.06971292,8.00,33.044,,2.316,75,17,33,,
T,2023-01-02 08:26:41,59.31546985,18.06975177,8.00,32.637,,2.283,79,16,35,,
T,2023-01-02 08:26:42,59.31547623,18.06978461,8.00,32.146,,2.200,78,15,35,,
T,2023-01-02 08:26:43,59.31547743,18.06979910,8.00,31.512,,1.974,78,14,33,,
T,2023-01-02 08:26:44,59.31547951,18.06981711,8.00,31.143,,1.830,69,14,34,,
T,2023-01-02 08:26:45,59.31548247,18.06984027,8.00,30.867,,1.751,74,13,34,,
T,2023-01-02 08:26:46,59.31548396,18.06987529,8.00,31.030,,1.759,94,12,34,,
T,2023-01-02 08:26:47,59.31548272,18.06991251,6.00,30.788,,1.776,98,16,34,,
T,2023-01-02 08:26:48,59.31548126,18.06994403,6.00,31.016,,1.754,101,15,35,,
T,2023-01-02 08:26:49,59.31547976,18.06996706,6.00,31.797,,1.693,102,15,33,,
T,2023-01-02 08:26:50,59.31547360,18.06998691,6.00,32.457,,1.643,113,12,33,,
T,2023-01-02 08:26:51,59.31546466,18.07000683,8.00,32.671,,1.616,125,12,33,,
T,2023-01-02 08:26:52,59.31545677,18.07002571,8.00,32.895,,1.583,126,12,32,,
T,2023-01-02 08:26:53,59.31545342,18.07003569,8.00,33.224,,1.497,125,11,32,,
T,2023-01-02 08:26:54,59.31544501,18.07005754,8.00,33.434,,1.495,131,10,33,,
T,2023-01-02 08:26:55,59.31542657,18.07008939,8.00,33.551,,1.589,141,10,34,,
T,2023-01-02 08:26:56,59.31541356,18.07011488,8.00,33.686,,1.618,143,13,34,,
T,2023-01-02 08:26:57,59.31540298,18.07014188,8.00,33.917,,1.629,143,10,33,,
T,2023-01-02 08:26:58,59.31538929,18.07016639,12.00,34.121,,1.646,146,8,34,,
T,2023-01-02 08:26:59,59.31536663,18.07017884,8.00,33.608,,1.712,164,12,33,,
T,2023-01-02 08:27:00,59.31534621,18.07019604,8.00,34.002,,1.767,157,15,33,,
T,2023-01-02 08:27:01,59.31531601,18.07022323,8.00,33.536,,1.292,153,17,33,,
T,2023-01-02 08:27:02,59.31529213,18.07023889,8.00,34.589,,1.855,154,17,35,,
T,2023-01-02 08:27:03,59.31527660,18.07025357,8.00,35.656,,1.809,154,18,35,,
T,2023-01-02 08:27:04,59.31527094,18.07027567,8.00,37.103,,1.651,148,18,34,,
T,2023-01-02 08:27:05,59.31526797,18.07029507,8.00,37.029,,1.503,137,20,33,,
T,2023-01-02 08:27:06,59.31526027,18.07032855,8.00,36.976,,1.588,124,16,34,,
T,2023-01-02 08:27:07,59.31525187,18.07036643,8.00,37.039,,1.691,116,20,35,,
T,2023-01-02 08:27:08,59.31524995,18.07039933,8.00,37.249,,1.696,98,16,34,,
T,2023-01-02 08:27:09,59.31525645,18.07044030,8.00,37.309,,1.778,65,16,35,,
T,2023-01-02 08:27:10,59.31526233,18.07047522,8.00,37.244,,1.799,60,17,34,,
T,2023-01-02 08:27:11,59.31526588,18.07050497,8.00,36.735,,1.771,80,17,34,,
T,2023-01-02 08:27:12,59.31527370,18.07053576,8.00,36.566,,1.773,64,17,35,,
T,2023-01-02 08:27:13,59.31528302,18.07057078,8.00,36.481,,1.805,76,16,33,,
T,2023-01-02 08:27:14,59.31529188,18.07060585,8.00,36.575,,1.829,73,15,33,,
T,2023-01-02 08:27:15,59.31529687,18.07064934,8.00,36.128,,1.881,80,17,33,,
T,2023-01-02 08:27:16,59.31529716,18.07070310,8.00,37.066,,1.344,101,15,33,,
T,2023-01-02 08:27:17,59.31528970,18.07075651,8.00,36.330,,1.401,115,17,34,,
T,2023-01-02 08:27:18,59.31528764,18.07079867,8.00,36.917,,1.784,121,15,34,,
T,2023-01-02 08:27:19,59.31529398,18.07082964,8.00,36.876,,1.788,116,16,34,,
T,2023-01-02 08:27:20,59.31529891,18.07088134,8.00,37.043,,2.074,102,18,34,,
T,2023-01-02 08:27:21,59.31530330,18.07093560,8.00,37.348,,2.275,82,18,34,,
T,2023-01-02 08:27:22,59.31530881,18.07099475,8.00,37.865,,1.664,74,16,35,,
T,2023-01-02 08:27:23,59.31531138,18.07106373,6.00,38.037,,1.734,73,20,35,,
T,2023-01-02 08:27:24,59.31532132,18.07112034,6.00,38.322,,2.373,68,20,35,,
T,2023-01-02 08:27:25,59.31533466,18.07118725,6.00,39.406,,1.864,60,20,35,,
T,2023-01-02 08:27:26,59.31534480,18.07123957,6.00,40.004,,2.365,57,18,35,,
T,2023-01-02 08:27:27,59.31535501,18.07126901,6.00,39.729,,2.211,50,16,34,,
T,2023-01-02 08:27:28,59.31536042,18.07127955,8.00,39.669,,1.672,45,14,35,,
T,2023-01-02 08:27:29,59.31536405,18.07128164,8.00,39.371,,1.292,40,10,35,,
T,2023-01-02 08:27:30,59.31537553,18.07129353,8.00,39.583,,1.330,30,10,35,,
T,2023-01-02 08:27:31,59.31538640,18.07129471,8.00,40.435,,1.296,15,8,35,,
T,2023-01-02 08:27:32,59.31539564,18.07130013,6.00,40.643,,1.244,17,9,35,,
T,2023-01-02 08:27:33,59.31540790,18.07131073,8.00,40.663,,1.266,24,10,34,,
T,2023-01-02 08:27:34,59.31541893,18.07132831,8.00,40.167,,1.343,30,13,35,,
T,2023-01-02 08:27:35,59.31544013,18.07133093,8.00,40.182,,1.492,19,16,35,,
T,2023-01-02 08:27:36,59.31545480,18.07134701,8.00,39.762,,1.551,16,19,34,,
T,2023-01-02 08:27:37,59.31547720,18.07134269,6.00,40.130,,1.655,16,22,35,,
T,2023-01-02 08:27:38,59.31549494,18.07133644,6.00,39.927,,1.684,4,21,35,,
T,2023-01-02 08:27:39,59.31550619,18.07133940,6.00,40.154,,1.640,1,17,35,,
T,2023-01-02 08:27:40,59.31551716,18.07134593,6.00,40.653,,1.608,355,22,35,,
T,2023-01-02 08:27:41,59.31553323,18.07134541,6.00,41.936,,1.628,349,22,34,,
T,2023-01-02 08:27:42,59.31555375,18.07134404,6.00,42.493,,1.689,347,18,35,,
T,2023-01-02 08:27:43,59.31557684,18.07134433,6.00,42.933,,1.768,344,15,33,,
T,2023-01-02 08:27:44,59.31559214,18.07132738,6.00,43.084,,1.793,334,20,35,,
T,2023-01-02 08:27:45,59.31560735,18.07130785,6.00,43.529,,1.817,333,19,35,,
T,2023-01-02 08:27:46,59.31562657,18.07128970,6.00,44.152,,1.867,334,20,31,,
T,2023-01-02 08:27:47,59.31564519,18.07127860,6.00,44.299,,1.897,336,19,32,,
T,2023-01-02 08:27:48,59.31566535,18.07126797,6.00,45.029,,1.934,336,18,33,,
T,2023-01-02 08:27:49,59.31568561,18.07126458,8.00,45.360,,1.967,338,18,32,,
T,2023-01-02 08:27:50,59.31570781,18.07125815,8.00,45.560,,2.015,337,17,31,,
T,2023-01-02 08:27:51,59.31573359,18.07126426,8.00,45.970,,2.088,344,19,33,,
T,2023-01-02 08:27:52,59.31575679,18.07125486,8.00,46.103,,2.137,343,17,31,,
T,2023-01-02 08:27:53,59.31579855,18.07125374,6.00,43.925,,2.067,349,18,32,,
T,2023-01-02 08:27:54,59.31583248,18.07124912,6.00,42.381,,2.720,349,17,33,,
T,2023-01-02 08:27:55,59.31585251,18.07123681,6.00,41.868,,2.552,349,19,32,,
T,2023-01-02 08:27:56,59.31587511,18.07122458,6.00,41.640,,2.534,350,21,33,,
T,2023-01-02 08:27:57,59.31589456,18.07121970,6.00,41.765,,2.430,349,20,33,,
T,2023-01-02 08:27:58,59.31591268,18.07121282,6.00,42.009,,2.343,349,17,30,,
T,2023-01-02 08:27:59,59.31593367,18.07119874,6.00,42.457,,2.356,349,18,32,,
T,2023-01-02 08:28:00,59.31595447,18.07118644,6.00,42.591,,2.361,346,17,33,,
T,2023-01-02 08:28:01,59.31597838,18.07117956,8.00,42.674,,2.402,346,19,34,,
T,2023-01-02 08:28:02,59.31601128,18.07116932,8.00,41.527,,2.563,345,21,32,,
T,2023-01-02 08:28:03,59.31604942,18.07114595,6.00,41.328,,2.773,344,19,33,,
T,2023-01-02 08:28:04,59.31606852,18.07113284,6.00,40.643,,2.702,344,17,33,,
T,2023-01-02 08:28:05,59.31609046,18.07112342,8.00,40.438,,2.668,344,17,32,,
T,2023-01-02 08:28:06,59.31611190,18.07111348,8.00,40.499,,2.634,346,17,33,,
T,2023-01-02 08:28:07,59.31612984,18.07110263,8.00,40.631,,2.576,346,16,31,,
T,2023-01-02 08:28:08,59.31615449,18.07109391,8.00,40.458,,2.586,347,17,35,,
T,2023-01-02 08:28:09,59.31618092,18.07108247,8.00,40.556,,2.614,349,17,33,,
T,2023-01-02 08:28:10,59.31621517,18.07106103,8.00,40.482,,2.719,348,15,35,,
T,2023-01-02 08:28:11,59.31625122,18.07103708,8.00,40.853,,2.836,348,12,33,,
T,2023-01-02 08:28:12,59.31628560,18.07101664,6.00,41.235,,2.924,348,18,34,,
T,2023-01-02 08:28:13,59.31631166,18.07098623,6.00,41.392,,2.937,355,17,35,,
T,2023-01-02 08:28:14,59.31632355,18.07098028,6.00,41.749,,2.782,354,13,35,,
T,2023-01-02 08:28:15,59.31632983,18.07096546,6.00,41.676,,2.619,355,19,35,,
T,2023-01-02 08:28:16,59.31634418,18.07095803,6.00,42.003,,2.522,358,17,35,,
T,2023-01-02 08:28:17,59.31637220,18.07095447,6.00,42.652,,2.564,6,18,34,,
T,2023-01-02 08:28:18,59.31640283,18.07095456,6.00,42.591,,2.628,2,20,35,,
T,2023-01-02 08:28:19,59.31642786,18.07094839,6.00,41.963,,2.643,351,21,35,,
T,2023-01-02 08:28:20,59.31645438,18.07093750,6.00,41.961,,2.675,351,21,33,,
T,2023-01-02 08:28:21,59.31648586,18.07091976,6.00,42.357,,2.757,353,18,34,,
T,2023-01-02 08:28:22,59.31651887,18.07090849,6.00,42.549,,2.842,350,17,35,,
T,2023-01-02 08:28:23,59.31654876,18.07089616,6.00,41.983,,2.891,351,18,34,,
T,2023-01-02 08:28:24,59.31657985,18.07088804,6.00,42.132,,2.944,353,17,34,,
T,2023-01-02 08:28:25,59.31661082,18.07087442,6.00,42.084,,2.997,353,19,33,,
T,2023-01-02 08:28:26,59.31664199,18.07086610,8.00,41.708,,3.049,353,17,33,,
T,2023-01-02 08:28:27,59.31667740,18.07085350,6.00,41.575,,3.134,352,17,33,,
T,2023-01-02 08:28:28,59.31670818,18.07083651,6.00,41.243,,3.178,350,18,32,,
T,2023-01-02 08:28:29,59.31674421,18.07082746,6.00,41.125,,3.257,351,17,32,,
T,2023-01-02 08:28:30,59.31677796,18.07081130,6.00,40.482,,3.318,350,16,34,,
T,2023-01-02 08:28:31,59.31681459,18.07079625,6.00,40.267,,3.398,350,16,34,,
T,2023-01-02 08:28:32,59.31684988,18.07078223,6.00,39.813,,3.461,350,15,34,,
T,2023-01-02 08:28:33,59.31689336,18.07077643,6.00,40.219,,3.586,353,15,33,,
T,2023-01-02 08:28:34,59.31693651,18.07075688,6.00,40.400,,3.706,353,14,32,,
T,2023-01-02 08:28:35,59.31698445,18.07074973,6.00,40.877,,3.846,357,17,33,,
T,2023-01-02 08:28:36,59.31702961,18.07074427,8.00,40.836,,3.950,358,19,33,,
T,2023-01-02 08:28:37,59.31707061,18.07073028,8.00,40.874,,4.013,353,17,34,,
T,2023-01-02 08:28:38,59.31710424,18.07070507,8.00,40.223,,4.018,351,20,33,,
T,2023-01-02 08:28:39,59.31714017,18.07068394,6.00,40.106,,4.033,349,21,33,,
T,2023-01-02 08:28:40,59.31717638,18.07065647,8.00,39.962,,4.057,349,19,33,,
T,2023-01-02 08:28:41,59.31722024,18.07062229,6.00,39.657,,4.146,344,19,33,,
T,2023-01-02 08:28:42,59.31726004,18.07059074,6.00,39.995,,4.190,349,15,32,,
T,2023-01-02 08:28:43,59.31729408,18.07056820,6.00,39.747,,4.166,351,18,33,,
T,2023-01-02 08:28:44,59.31733185,18.07055332,6.00,39.756,,4.161,352,17,35,,
T,2023-01-02 08:28:45,59.31736528,18.07053650,6.00,39.989,,4.126,352,16,34,,
T,2023-01-02 08:28:46,59.31740043,18.07052632,6.00,39.517,,4.098,353,16,35,,
T,2023-01-02 08:28:47,59.31743115,18.07051608,6.00,39.264,,4.035,352,16,34,,
T,2023-01-02 08:28:48,59.31746640,18.07050542,6.00,39.405,,4.019,354,17,35,,
T,2023-01-02 08:28:49,59.31750092,18.07049212,6.00,39.547,,4.007,354,11,34,,
T,2023-01-02 08:28:50,59.31753734,18.07046150,6.00,39.998,,4.040,350,16,34,,
T,2023-01-02 08:28:51,59.31757501,18.07042925,6.00,39.908,,4.080,349,17,34,,
T,2023-01-02 08:28:52,59.31760813,18.07040047,6.00,39.607,,4.074,348,19,33,,
T,2023-01-02 08:28:53,59.31763918,18.07037341,8.00,39.455,,4.053,346,19,34,,
T,2023-01-02 08:28:54,59.31767602,18.07034833,8.00,39.777,,4.075,346,19,34,,
T,2023-01-02 08:28:55,59.31771509,18.07032130,8.00,40.728,,4.110,348,19,34,,
T,2023-01-02 08:28:56,59.31774209,18.07030320,8.00,40.953,,4.031,348,18,35,,
T,2023-01-02 08:28:57,59.31776997,18.07027699,6.00,42.056,,3.979,347,22,33,,
T,2023-01-02 08:28:58,59.31779940,18.07025072,6.00,42.671,,3.946,347,18,34,,
T,2023-01-02 08:28:59,59.31783077,18.07023576,6.00,42.491,,3.910,347,21,34,,
T,2023-01-02 08:29:00,59.31786280,18.07021843,6.00,43.104,,3.885,348,19,32,,
T,2023-01-02 08:29:01,59.31790367,18.07019850,8.00,43.650,,3.941,355,19,33,,
T,2023-01-02 08:29:02,59.31794794,18.07018950,8.00,43.835,,4.022,355,18,33,,
T,2023-01-02 08:29:03,59.31799288,18.07017407,8.00,43.825,,4.108,355,18,33,,
T,2023-01-02 08:29:04,59.31803430,18.07016776,8.00,43.307,,4.155,356,20,34,,
T,2023-01-02 08:29:05,59.31807618,18.07016216,6.00,43.113,,4.202,356,19,34,,
T,2023-01-02 08:29:06,59.31811263,18.07014622,6.00,42.651,,4.206,352,17,33,,
T,2023-01-02 08:29:07,59.31815625,18.07012275,8.00,42.536,,4.282,351,16,33,,
T,2023-01-02 08:29:08,59.31820428,18.07009627,8.00,42.984,,4.389,350,21,33,,
T,2023-01-02 08:29:09,59.31824632,18.07007624,8.00,42.620,,4.428,346,19,33,,
T,2023-01-02 08:29:10,59.31829302,18.07004368,8.00,43.624,,4.503,352,19,34,,
T,2023-01-02 08:29:11,59.31833122,18.07003366,6.00,43.947,,4.464,14,16,34,,
T,2023-01-02 08:29:12,59.31836796,18.07005744,6.00,45.009,,4.435,46,16,33,,
T,2023-01-02 08:29:13,59.31840435,18.07013059,6.00,46.427,,4.526,70,16,34,,
T,2023-01-02 08:29:14,59.31842628,18.07020434,6.00,45.868,,4.536,66,14,34,,
T,2023-01-02 08:29:15,59.31847505,18.07027740,8.00,47.873,,4.703,66,16,33,,
T,2023-01-02 08:29:16,59.31851800,18.07036289,8.00,49.353,,4.846,68,17,33,,
T,2023-01-02 08:29:17,59.31854910,18.07043071,8.00,49.237,,4.847,69,16,34,,
T,2023-01-02 08:29:18,59.31857723,18.07050600,8.00,49.904,,4.856,75,17,35,,
T,2023-01-02 08:29:19,59.31859877,18.07059914,6.00,50.646,,4.910,71,16,34,,
T,2023-01-02 08:29:20,59.31862303,18.07068241,6.00,51.289,,4.939,70,14,34,,
T,2023-01-02 08:29:21,59.31864621,18.07077824,8.00,52.135,,5.014,74,13,34,,
T,2023-01-02 08:29:22,59.31866552,18.07086837,8.00,52.357,,5.043,80,14,35,,
T,2023-01-02 08:29:23,59.31867079,18.07093273,8.00,51.426,,4.924,87,16,34,,
T,2023-01-02 08:29:24,59.31866855,18.07099021,8.00,50.839,,4.759,97,14,34,,
T,2023-01-02 08:29:25,59.31866985,18.07102109,6.00,51.915,,4.469,93,16,34,,
T,2023-01-02 08:29:26,59.31867402,18.07102740,6.00,52.172,,3.754,93,16,34,,
T,2023-01-02 08:29:27,59.31867858,18.07102219,6.00,52.727,,3.270,92,14,35,,
T,2023-01-02 08:29:28,59.31868592,18.07102786,6.00,51.089,,3.015,274,13,35,,
T,2023-01-02 08:29:29,59.31872949,18.07099300,8.00,43.946,,2.014,290,11,34,,
T,2023-01-02 08:29:30,59.31876684,18.07094092,8.00,43.208,,3.394,324,15,35,,
T,2023-01-02 08:29:31,59.31881258,18.07089572,8.00,41.676,,4.276,333,14,32,,
T,2023-01-02 08:29:32,59.31891339,18.07085746,8.00,38.632,,4.917,346,18,33,,
T,2023-01-02 08:29:33,59.31900220,18.07083119,8.00,35.719,,7.017,346,18,34,,
T,2023-01-02 08:29:34,59.31909635,18.07079741,8.00,32.984,,8.104,343,16,34,,
T,2023-01-02 08:29:35,59.31918708,18.07075951,8.00,31.551,,8.570,346,17,34,,
T,2023-01-02 08:29:36,59.31927463,18.07072638,8.00,31.822,,8.753,346,17,35,,
T,2023-01-02 08:29:37,59.31935744,18.07069669,8.00,33.398,,7.352,350,22,34,,
T,2023-01-02 08:29:38,59.31943106,18.07066006,8.00,34.541,,6.844,349,22,34,,
T,2023-01-02 08:29:39,59.31949450,18.07061869,8.00,34.412,,6.039,346,26,34,,
T,2023-01-02 08:29:40,59.31954899,18.07058678,8.00,35.795,,5.494,347,24,34,,
T,2023-01-02 08:29:41,59.31960068,18.07055189,8.00,34.921,,4.062,348,25,35,,
T,2023-01-02 08:29:42,59.31963956,18.07052570,8.00,35.280,,3.306,351,24,34,,
T,2023-01-02 08:29:43,59.31966573,18.07050054,8.00,35.542,,2.197,358,26,35,,
T,2023-01-02 08:29:44,59.31967601,18.07049139,8.00,34.481,,0.807,3,22,35,,
T,2023-01-02 08:29:45,59.31967601,18.07049139,8.00,34.931,,0.000,,25,35,,
T,2023-01-02 08:29:46,59.31967601,18.07049139,12.00,35.983,,0.000,,24,35,,
T,2023-01-02 08:29:47,59.31967601,18.07049139,12.00,36.678,,0.000,,23,34,,
T,2023-01-02 08:29:48,59.31967601,18.07049139,12.00,36.499,,0.000,,23,35,,
T,2023-01-02 08:29:49,59.31967601,18.07049139,12.00,36.448,,0.000,,23,35,,
T,2023-01-02 08:29:50,59.31967601,18.07049139,12.00,36.358,,0.000,,25,35,,
T,2023-01-02 08:29:51,59.31967601,18.07049139,12.00,36.107,,0.000,,24,35,,
T,2023-01-02 08:29:52,59.31967601,18.07049139,12.00,36.033,,0.000,,24,35,,
T,2023-01-02 08:29:53,59.31967195,18.07046935,12.00,36.430,,0.417,353,25,35,,
T,2023-01-02 08:29:54,59.31967739,18.07046819,12.00,37.005,,1.332,350,24,35,,
T,2023-01-02 08:29:55,59.31969345,18.07046523,12.00,37.740,,2.087,353,21,35,,
T,2023-01-02 08:29:56,59.31971882,18.07045320,12.00,38.195,,2.124,350,23,35,,
T,2023-01-02 08:29:57,59.31974645,18.07043708,12.00,39.025,,2.621,353,22,34,,
T,2023-01-02 08:29:58,59.31978338,18.07043279,12.00,39.897,,2.782,358,24,35,,
T,2023-01-02 08:29:59,59.31981743,18.07043260,12.00,39.185,,3.212,6,22,35,,
T,2023-01-02 08:30:00,59.31985374,18.07044099,12.00,39.283,,3.113,42,21,35,,
T,2023-01-02 08:30:01,59.31988417,18.07049017,12.00,39.478,,4.231,78,22,35,,
T,2023-01-02 08:30:02,59.31989813,18.07057304,12.00,38.734,,4.299,74,21,35,,
T,2023-01-02 08:30:03,59.31995240,18.07071893,12.00,37.572,,5.062,74,23,35,,
T,2023-01-02 08:30:04,59.31998399,18.07084072,12.00,36.538,,5.469,74,23,35,,
T,2023-01-02 08:30:05,59.32000826,18.07095122,8.00,36.263,,5.469,74,21,35,,
T,2023-01-02 08:30:05.999,59.32002492,18.07105476,8.00,36.046,,5.398,76,21,34,,
T,2023-01-02 08:30:06.999,59.32003697,18.07115002,8.00,35.950,,5.284,76,22,35,,
T,2023-01-02 08:30:07.999,59.32004214,18.07124665,8.00,35.396,,5.116,79,22,34,,
T,2023-01-02 08:30:08.999,59.32003897,18.07136926,8.00,33.866,,4.850,75,24,35,,
